Conflict for A whose techno was PromethION  and is now MKIb
Conflict for A whose techno was PromethION  and is now MKIb
Conflict for A whose techno was PromethION  and is now MKIb
Conflict for A whose techno was PromethION  and is now MKIb
Multiple technos 64SUR0CCKK11 GA IIx HiSeq 2000
Multiple technos 64DCM0CCKK11 HiSeq 2000 GA IIx
Multiple technos 66SUR0CCKK11 GA IIx HiSeq 2000
Multiple technos 68SUR0CCKK11 HiSeq 2000 GA IIx
Multiple technos 68DCM0CCKK11 HiSeq 2000 GA IIx
Multiple technos 102DCM0CCKK11 HiSeq 2000 GA IIx
Multiple technos 30DCM0CCII11 HiSeq 2000 GA IIx
64SUR0CCKK11 None
64DCM0CCKK11 None
65SUR0BBCC11 HiSeq 2000
67SUR0EEGG11 HiSeq 2000
67SUR0CCEE11 HiSeq 2000
68SUR0EEGG11 HiSeq 2000
68MES0EEGG11 HiSeq 2000
68DCM0EEGG11 HiSeq 2000
68SUR0CCEE11 HiSeq 2000
68DCM0CCEE11 HiSeq 2000
70SUR0EEGG11 HiSeq 2000
70MES0EEGG11 HiSeq 2000
70SUR0CCEE11 HiSeq 2000
70MES0CCEE11 HiSeq 2000
76SUR0EEGG11 HiSeq 2000
76MES0EEGG11 HiSeq 2000
76DCM0EEGG11 HiSeq 2000
76DCM0CCEE11 HiSeq 2000
76SUR0CCEE11 HiSeq 2000
78SUR0EEGG11 HiSeq 2000
78MES0EEGG11 HiSeq 2000
78DCM0EEGG11 HiSeq 2000
78SUR0CCEE11 HiSeq 2000
78DCM0CCEE11 HiSeq 2000
122SUR0CCEE11 HiSeq 2000
122SUR0EEGG11 HiSeq 2000
122DCM0BBCC11 HiSeq 2000
122SUR0BBCC11 HiSeq 2000
122DCM0CCEE11 HiSeq 2000
122DCM0EEGG11 HiSeq 2000
123MXL00BBCC11 HiSeq 2000
123SUR0BBCC12 HiSeq 2000
123MES00CCEE11 HiSeq 2000
123SUR0CCEE11 HiSeq 2000
123MES00EEGG11 HiSeq 2000
123SUR0EEGG11 HiSeq 2000
122MES0BBCC11 HiSeq 2000
122MES0CCEE11 HiSeq 2000
122MES0EEGG11 HiSeq 2000
124MXL00BBCC11 HiSeq 2000
124SUR0BBCC11 HiSeq 2000
124MXL00CCEE11 HiSeq 2000
124SUR0CCEE11 HiSeq 2000
124MXL00EEGG11 HiSeq 2000
124SUR0EEGG11 HiSeq 2000
125MXL00BBCC11 HiSeq 2000
125SUR0BBCC11 HiSeq 2000
125MXL00CCEE11 HiSeq 2000
125SUR0CCEE11 HiSeq 2000
125MXL00EEGG11 HiSeq 2000
125SUR0EEGG11 HiSeq 2000
7SUR0CCII11 HiSeq 2000
